,document,element,Frequency
80,2010,Lower_respiratory_infections,-0.00016707280260625174
81,2011,Lower_respiratory_infections,-0.00018422345376855947
82,2012,Lower_respiratory_infections,-0.0001956871298719352
83,2013,Lower_respiratory_infections,-0.00020166524773847574
84,2014,Lower_respiratory_infections,-0.00022523396955268166
85,2015,Lower_respiratory_infections,-0.00025742421117420445
86,2016,Lower_respiratory_infections,-0.00030741443760094744
87,2017,Lower_respiratory_infections,-0.00037532350542926647
88,2018,Lower_respiratory_infections,-0.0004297829071348534
89,2019,Lower_respiratory_infections,-0.00047892282211999416
90,1990,Nutritional_deficiencies,0.0008186305721466051
91,1991,Nutritional_deficiencies,0.0006704486457189884
92,1992,Nutritional_deficiencies,0.0005417579604631705
93,1993,Nutritional_deficiencies,0.00041688642930266264
94,1994,Nutritional_deficiencies,0.0003038438373935493
95,1995,Nutritional_deficiencies,0.0005261238194735559
96,1996,Nutritional_deficiencies,0.0003600798343437995
97,1997,Nutritional_deficiencies,0.0002802417508600678
98,1998,Nutritional_deficiencies,0.00020210801373007903
99,1999,Nutritional_deficiencies,0.00013186352474224658
100,2000,Nutritional_deficiencies,8.257308756030163e-05
101,2001,Nutritional_deficiencies,4.419552844550298e-05
102,2002,Nutritional_deficiencies,1.6877174855040164e-05
103,2003,Nutritional_deficiencies,-2.510425978001382e-05
104,2004,Nutritional_deficiencies,-5.454910047574446e-05
105,2005,Nutritional_deficiencies,-8.566848969038547e-05
106,2006,Nutritional_deficiencies,-0.00011119879724763864
107,2007,Nutritional_deficiencies,-0.00014688114362540743
108,2008,Nutritional_deficiencies,-0.0001894692494041933
109,2009,Nutritional_deficiencies,-0.00022334585464534886
110,2010,Nutritional_deficiencies,-0.000236235913231351
111,2011,Nutritional_deficiencies,-0.0002621826022087797
112,2012,Nutritional_deficiencies,-0.00032580345241898655
113,2013,Nutritional_deficiencies,-0.0003604918302492579
114,2014,Nutritional_deficiencies,-0.0003979345321829266
115,2015,Nutritional_deficiencies,-0.0004384876044983095
116,2016,Nutritional_deficiencies,-0.00047707108526580605
117,2017,Nutritional_deficiencies,-0.0005169858298770336
118,2018,Nutritional_deficiencies,-0.0005858179767940241
119,2019,Nutritional_deficiencies,-0.00064550370235313
120,1990,Neonatal_disorders,0.0007761928234513715
121,1991,Neonatal_disorders,0.0006451043560446908
122,1992,Neonatal_disorders,0.0005519764802137559
123,1993,Neonatal_disorders,0.0004317004670526363
124,1994,Neonatal_disorders,0.0003031535875509424
125,1995,Neonatal_disorders,0.00027497823380395357
126,1996,Neonatal_disorders,0.0002265732806888644
127,1997,Neonatal_disorders,0.00017931082854783778
128,1998,Neonatal_disorders,0.0001352667640512474
129,1999,Neonatal_disorders,8.73800965244967e-05
130,2000,Neonatal_disorders,5.6298923718798915e-05
131,2001,Neonatal_disorders,3.275754748944854e-05
132,2002,Neonatal_disorders,1.5778922208692587e-05
133,2003,Neonatal_disorders,7.665339286166886e-06
134,2004,Neonatal_disorders,2.2071587996499173e-06
135,2005,Neonatal_disorders,-2.2145965556076227e-09
136,2006,Neonatal_disorders,-9.420400972220977e-07
137,2007,Neonatal_disorders,-6.431737277545757e-06
138,2008,Neonatal_disorders,-2.492445407029759e-05
139,2009,Neonatal_disorders,-3.759868084357901e-05
140,2010,Neonatal_disorders,-7.876160152901638e-05
141,2011,Neonatal_disorders,-0.00011240958964280805
142,2012,Neonatal_disorders,-0.00015964679052376304
143,2013,Neonatal_disorders,-0.00021966118091660452
144,2014,Neonatal_disorders,-0.0003185580136955608
145,2015,Neonatal_disorders,-0.00044131785324112195
146,2016,Neonatal_disorders,-0.0006337357005488185
147,2017,Neonatal_disorders,-0.0008598306384693128
148,2018,Neonatal_disorders,-0.0011204994379020684
149,2019,Neonatal_disorders,-0.0013877767750076668
150,1990,Protein_energy_malnutrition,0.0006958659121982613
151,1991,Protein_energy_malnutrition,0.0005649661775263548
152,1992,Protein_energy_malnutrition,0.0004539104642595276
153,1993,Protein_energy_malnutrition,0.0003500866702845387
154,1994,Protein_energy_malnutrition,0.0002571638087197929
155,1995,Protein_energy_malnutrition,0.000493395976042939
156,1996,Protein_energy_malnutrition,0.00033590986200285225
157,1997,Protein_energy_malnutrition,0.00026335933035781913
158,1998,Protein_energy_malnutrition,0.0001947617141120526
159,1999,Protein_energy_malnutrition,0.0001332284387581277
160,2000,Protein_energy_malnutrition,8.720205404487457e-05
161,2001,Protein_energy_malnutrition,4.982734085736177e-05
162,2002,Protein_energy_malnutrition,2.266696583941893e-05
163,2003,Protein_energy_malnutrition,-2.0403707197909284e-05
164,2004,Protein_energy_malnutrition,-4.513864927618269e-05
165,2005,Protein_energy_malnutrition,-7.277610953964632e-05
166,2006,Protein_energy_malnutrition,-9.723100430429827e-05
167,2007,Protein_energy_malnutrition,-0.00013082388155435042
168,2008,Protein_energy_malnutrition,-0.0001715931802836882
169,2009,Protein_energy_malnutrition,-0.00020261526987610883
170,2010,Protein_energy_malnutrition,-0.0002126543881682579
171,2011,Protein_energy_malnutrition,-0.00023842262828151662
172,2012,Protein_energy_malnutrition,-0.000302682010926062
173,2013,Protein_energy_malnutrition,-0.00033527751835730297
174,2014,Protein_energy_malnutrition,-0.0003713550979717751
175,2015,Protein_energy_malnutrition,-0.00040890089929674473
176,2016,Protein_energy_malnutrition,-0.0004452751461022071
177,2017,Protein_energy_malnutrition,-0.00048412274081244136
178,2018,Protein_energy_malnutrition,-0.0005502414553480892
179,2019,Protein_energy_malnutrition,-0.0006064454276726579
180,1990,Neoplasms,-0.0006887669084989327
181,1991,Neoplasms,-0.0006292890965449187
182,1992,Neoplasms,-0.0005350789366147879
183,1993,Neoplasms,-0.0004524494272066101
184,1994,Neoplasms,-0.00045995661754325966
185,1995,Neoplasms,-0.0003526815921636832
186,1996,Neoplasms,-0.0002929590939963287
187,1997,Neoplasms,-0.00025584415551859526
188,1998,Neoplasms,-0.00021085703948887317
189,1999,Neoplasms,-0.00016514579121090518
190,2000,Neoplasms,-0.00011726910510823519
191,2001,Neoplasms,-8.785773101360446e-05
192,2002,Neoplasms,-6.264476749687177e-05
193,2003,Neoplasms,-3.2079759773460254e-05
194,2004,Neoplasms,-1.4275951102820207e-05
195,2005,Neoplasms,-1.926796893512246e-06
196,2006,Neoplasms,4.6614427241421113e-07
197,2007,Neoplasms,1.0311406041042847e-05
198,2008,Neoplasms,2.3692775493161728e-05
199,2009,Neoplasms,7.338651883754274e-05
200,2010,Neoplasms,0.0001029993851443642
201,2011,Neoplasms,0.00017056135077000382
202,2012,Neoplasms,0.00023559967889131596
203,2013,Neoplasms,0.0002935200703971276
204,2014,Neoplasms,0.000369622306564581
205,2015,Neoplasms,0.0004578363815399807
206,2016,Neoplasms,0.0005607708311540643
207,2017,Neoplasms,0.0006658605404643997
208,2018,Neoplasms,0.000792132488337682
209,2019,Neoplasms,0.0009364594979419973
210,1990,Alzheimer_s_disease_and_other_dementias,-0.000559134331706913
211,1991,Alzheimer_s_disease_and_other_dementias,-0.0004990762164016581
212,1992,Alzheimer_s_disease_and_other_dementias,-0.00043722920414474573
213,1993,Alzheimer_s_disease_and_other_dementias,-0.00039252450899022193
214,1994,Alzheimer_s_disease_and_other_dementias,-0.00036627778462812303
215,1995,Alzheimer_s_disease_and_other_dementias,-0.00030281507741006654
216,1996,Alzheimer_s_disease_and_other_dementias,-0.0002534149863226943
217,1997,Alzheimer_s_disease_and_other_dementias,-0.00021863089632911362
218,1998,Alzheimer_s_disease_and_other_dementias,-0.00018701710579244147
219,1999,Alzheimer_s_disease_and_other_dementias,-0.0001615515477701075
220,2000,Alzheimer_s_disease_and_other_dementias,-0.00013036167738653516
221,2001,Alzheimer_s_disease_and_other_dementias,-9.785342767714366e-05
222,2002,Alzheimer_s_disease_and_other_dementias,-7.04480817886765e-05
223,2003,Alzheimer_s_disease_and_other_dementias,-4.3666449615948895e-05
224,2004,Alzheimer_s_disease_and_other_dementias,-2.2942816914737433e-05
225,2005,Alzheimer_s_disease_and_other_dementias,-7.901215450137919e-06
226,2006,Alzheimer_s_disease_and_other_dementias,-1.2617288498621915e-07
227,2007,Alzheimer_s_disease_and_other_dementias,3.826115183558777e-06
228,2008,Alzheimer_s_disease_and_other_dementias,1.3965851416918148e-05
229,2009,Alzheimer_s_disease_and_other_dementias,4.285039366095744e-05
230,2010,Alzheimer_s_disease_and_other_dementias,7.230185303948962e-05
231,2011,Alzheimer_s_disease_and_other_dementias,0.00012107170048982689
232,2012,Alzheimer_s_disease_and_other_dementias,0.0001759347590958799
233,2013,Alzheimer_s_disease_and_other_dementias,0.00023450556235725308
234,2014,Alzheimer_s_disease_and_other_dementias,0.00030265878818497034
235,2015,Alzheimer_s_disease_and_other_dementias,0.000368278941205349
236,2016,Alzheimer_s_disease_and_other_dementias,0.00045549513841091965
237,2017,Alzheimer_s_disease_and_other_dementias,0.0005524465227906084
238,2018,Alzheimer_s_disease_and_other_dementias,0.0006370115280045574
239,2019,Alzheimer_s_disease_and_other_dementias,0.0007080584802438366
240,1990,Cardiovascular_diseases,-0.0004439673183884423
241,1991,Cardiovascular_diseases,-0.00043774820747067254
242,1992,Cardiovascular_diseases,-0.0003605399153105097
243,1993,Cardiovascular_diseases,-0.00026047579344845237
244,1994,Cardiovascular_diseases,-0.000294010006045807
245,1995,Cardiovascular_diseases,-0.00023532782131272228
246,1996,Cardiovascular_diseases,-0.00021299945129410643
247,1997,Cardiovascular_diseases,-0.0002002480585939258
248,1998,Cardiovascular_diseases,-0.0001959478391831979
249,1999,Cardiovascular_diseases,-0.00015558333566950428
250,2000,Cardiovascular_diseases,-0.00010970956730047086
251,2001,Cardiovascular_diseases,-6.963503911228521e-05
252,2002,Cardiovascular_diseases,-3.233669727508749e-05
253,2003,Cardiovascular_diseases,-1.1849108365414272e-05
254,2004,Cardiovascular_diseases,-1.48933885123991e-05
255,2005,Cardiovascular_diseases,-1.4017133829953045e-06
256,2006,Cardiovascular_diseases,-2.061821818526838e-07
257,2007,Cardiovascular_diseases,1.3626049314711041e-06
258,2008,Cardiovascular_diseases,6.887386505683053e-06
259,2009,Cardiovascular_diseases,3.525141333920578e-05
260,2010,Cardiovascular_diseases,6.064323469793815e-05
261,2011,Cardiovascular_diseases,0.00011728674022250859
262,2012,Cardiovascular_diseases,0.00016982914982201485
263,2013,Cardiovascular_diseases,0.00022657065719647578
264,2014,Cardiovascular_diseases,0.0002804928486526137
265,2015,Cardiovascular_diseases,0.0003745456967449885
266,2016,Cardiovascular_diseases,0.00046116844938401923
267,2017,Cardiovascular_diseases,0.0005465989632803554
268,2018,Cardiovascular_diseases,0.0006640685922023343
269,2019,Cardiovascular_diseases,0.0007778402755729084
270,1990,Tuberculosis,0.0004294044653384002
271,1991,Tuberculosis,0.00040517969186751063
272,1992,Tuberculosis,0.00041506269748377853
273,1993,Tuberculosis,0.00030402866588421715
274,1994,Tuberculosis,0.0002140376746677811
275,1995,Tuberculosis,0.00019401518676884656
276,1996,Tuberculosis,0.00016452578485308747
277,1997,Tuberculosis,0.00015506479291287198
278,1998,Tuberculosis,0.00013658349370295505
279,1999,Tuberculosis,0.00010904118380384393
280,2000,Tuberculosis,9.125993783481719e-05
281,2001,Tuberculosis,5.616855792451919e-05
282,2002,Tuberculosis,2.6196101086143394e-05
283,2003,Tuberculosis,8.948480184323778e-06
284,2004,Tuberculosis,7.86705199841592e-09
285,2005,Tuberculosis,-2.4753727804946435e-06
286,2006,Tuberculosis,-8.673620017643621e-06
287,2007,Tuberculosis,-2.0247765164859463e-05
288,2008,Tuberculosis,-4.2652727833662816e-05
289,2009,Tuberculosis,-6.947038340068389e-05
290,2010,Tuberculosis,-0.00012395756339341553
291,2011,Tuberculosis,-0.0001646450893530065
292,2012,Tuberculosis,-0.00018994900663134632
293,2013,Tuberculosis,-0.0002186662669351109
294,2014,Tuberculosis,-0.0002525616818160295
295,2015,Tuberculosis,-0.0003267357831222722
296,2016,Tuberculosis,-0.00038523402229118835
297,2017,Tuberculosis,-0.0004461632421810151
298,2018,Tuberculosis,-0.000549477236729286
299,2019,Tuberculosis,-0.00066089356967329
300,1990,Diabetes_mellitus,-0.0003594478804665063
301,1991,Diabetes_mellitus,-0.0003297017893205173
302,1992,Diabetes_mellitus,-0.0002857113891813043
303,1993,Diabetes_mellitus,-0.0002508513296573692
304,1994,Diabetes_mellitus,-0.00023486776275083616
305,1995,Diabetes_mellitus,-0.0001885281257728924
306,1996,Diabetes_mellitus,-0.000146582725332743
307,1997,Diabetes_mellitus,-0.000111322599805891
308,1998,Diabetes_mellitus,-8.510658958792009e-05
309,1999,Diabetes_mellitus,-6.84425354710831e-05
310,2000,Diabetes_mellitus,-4.9535647808840824e-05
311,2001,Diabetes_mellitus,-3.1426760040183005e-05
312,2002,Diabetes_mellitus,-1.6029346123372238e-05
313,2003,Diabetes_mellitus,-6.0797576124106125e-06
314,2004,Diabetes_mellitus,-2.703652272858587e-06
315,2005,Diabetes_mellitus,-5.189461230803944e-10
316,2006,Diabetes_mellitus,1.8687230993683632e-06
317,2007,Diabetes_mellitus,6.4420204047418105e-06
318,2008,Diabetes_mellitus,1.1809150602697896e-05
319,2009,Diabetes_mellitus,2.3480033050732384e-05
320,2010,Diabetes_mellitus,2.9964745895127726e-05
321,2011,Diabetes_mellitus,5.277167781797998e-05
322,2012,Diabetes_mellitus,8.30660417026534e-05
323,2013,Diabetes_mellitus,0.00011756515740836936
324,2014,Diabetes_mellitus,0.00015992460196148205
325,2015,Diabetes_mellitus,0.00020118075344346107
326,2016,Diabetes_mellitus,0.0002520655837226185
327,2017,Diabetes_mellitus,0.0002997872241734989
328,2018,Diabetes_mellitus,0.00034427844214271084
329,2019,Diabetes_mellitus,0.00038687607701047176
330,1990,Chronic_kidney_disease,-0.0003492273698415386
331,1991,Chronic_kidney_disease,-0.00033358795371891416
332,1992,Chronic_kidney_disease,-0.0003020768235427486
333,1993,Chronic_kidney_disease,-0.0002838203006908075
334,1994,Chronic_kidney_disease,-0.00027403549592306146
335,1995,Chronic_kidney_disease,-0.00022971653893058943
336,1996,Chronic_kidney_disease,-0.0001891473547871855
337,1997,Chronic_kidney_disease,-0.00014914039496869455
338,1998,Chronic_kidney_disease,-0.00011401785378429576
339,1999,Chronic_kidney_disease,-8.977282550652545e-05
340,2000,Chronic_kidney_disease,-6.256930347302205e-05
341,2001,Chronic_kidney_disease,-4.123415482946405e-05
342,2002,Chronic_kidney_disease,-2.4567537962688797e-05
343,2003,Chronic_kidney_disease,-1.1650919463401235e-05
344,2004,Chronic_kidney_disease,-5.488463878264955e-06
345,2005,Chronic_kidney_disease,-3.1750248328838056e-07
346,2006,Chronic_kidney_disease,1.4105667439972744e-06
347,2007,Chronic_kidney_disease,8.008818120744702e-06
348,2008,Chronic_kidney_disease,1.7410825831422816e-05
349,2009,Chronic_kidney_disease,3.707770309038891e-05
350,2010,Chronic_kidney_disease,5.410940116690394e-05
351,2011,Chronic_kidney_disease,8.802205441298875e-05
352,2012,Chronic_kidney_disease,0.00012058521856123387
353,2013,Chronic_kidney_disease,0.00015917882692862155
354,2014,Chronic_kidney_disease,0.00019481806387961105
355,2015,Chronic_kidney_disease,0.0002333157614432574
356,2016,Chronic_kidney_disease,0.0002759354378303949
357,2017,Chronic_kidney_disease,0.0003013908246724353
358,2018,Chronic_kidney_disease,0.0003311575722092829
359,2019,Chronic_kidney_disease,0.00036162216790956324
360,1990,Drowning,0.00024505403899614656
361,1991,Drowning,0.0002115600446013202
362,1992,Drowning,0.00018134721755541444
363,1993,Drowning,0.00015947592058198636
364,1994,Drowning,0.00013273584081220538
365,1995,Drowning,0.00012007946938693984
366,1996,Drowning,9.025755063722977e-05
367,1997,Drowning,6.798862789537084e-05
368,1998,Drowning,5.347327675061684e-05
369,1999,Drowning,3.42589681061539e-05
370,2000,Drowning,2.1147967388338983e-05
371,2001,Drowning,1.0095261013633346e-05
372,2002,Drowning,1.9328208673454047e-06
373,2003,Drowning,-5.076230508438011e-08
374,2004,Drowning,-1.7894826739246929e-06
375,2005,Drowning,-4.486623164224647e-06
376,2006,Drowning,-1.1269613315873379e-05
377,2007,Drowning,-1.8174821897588486e-05
378,2008,Drowning,-2.95866686574725e-05
379,2009,Drowning,-3.810313839574999e-05
380,2010,Drowning,-5.1522746329471015e-05
381,2011,Drowning,-6.819077048197616e-05
382,2012,Drowning,-8.093845475202587e-05
383,2013,Drowning,-0.00010403691429071752
384,2014,Drowning,-0.0001291172069501803
385,2015,Drowning,-0.00014877996839473477
386,2016,Drowning,-0.00017166264098142858
387,2017,Drowning,-0.00020077340264230178
388,2018,Drowning,-0.0002178192348517837
389,2019,Drowning,-0.00024214066886742115
390,1990,Meningitis,0.0001507175566685051
391,1991,Meningitis,0.0001300382931570161
392,1992,Meningitis,0.00011697066843885796
393,1993,Meningitis,9.220636692925006e-05
394,1994,Meningitis,6.455683893862431e-05
395,1995,Meningitis,5.857123597405008e-05
396,1996,Meningitis,6.805115769334218e-05
397,1997,Meningitis,4.040678560498481e-05
398,1998,Meningitis,2.7962354189114264e-05
399,1999,Meningitis,2.0179774035974582e-05
400,2000,Meningitis,1.4182863221799929e-05
401,2001,Meningitis,8.421284377236297e-06
402,2002,Meningitis,3.074974885679797e-06
403,2003,Meningitis,1.6155723918200759e-06
404,2004,Meningitis,2.9886635817513756e-07
405,2005,Meningitis,3.5539431808622875e-08
406,2006,Meningitis,6.709037620063626e-10
407,2007,Meningitis,-4.300708653127305e-07
408,2008,Meningitis,-4.186406549511494e-06
409,2009,Meningitis,-6.621811761562107e-06
410,2010,Meningitis,-1.5861788414336464e-05
411,2011,Meningitis,-2.9822710213171734e-05
412,2012,Meningitis,-4.823264472513704e-05
413,2013,Meningitis,-6.918991242858428e-05
414,2014,Meningitis,-9.087875543779724e-05
415,2015,Meningitis,-0.00012790133834192244
416,2016,Meningitis,-0.00015210148300545505
417,2017,Meningitis,-0.00019229676351128762
418,2018,Meningitis,-0.00023293940173202865
419,2019,Meningitis,-0.0002667357195646049
420,1990,Parkinson_s_disease,-9.301352767806772e-05
421,1991,Parkinson_s_disease,-8.711454645168762e-05
422,1992,Parkinson_s_disease,-7.930796795080369e-05
423,1993,Parkinson_s_disease,-7.153968213404301e-05
424,1994,Parkinson_s_disease,-6.999617812039735e-05
425,1995,Parkinson_s_disease,-5.892332137670813e-05
426,1996,Parkinson_s_disease,-4.9179830243609916e-05
427,1997,Parkinson_s_disease,-4.0870648042433226e-05
428,1998,Parkinson_s_disease,-3.341780513399392e-05
429,1999,Parkinson_s_disease,-2.7008038718301375e-05
430,2000,Parkinson_s_disease,-1.9795302281972534e-05
431,2001,Parkinson_s_disease,-1.2968495846161197e-05
432,2002,Parkinson_s_disease,-7.48537726304795e-06
433,2003,Parkinson_s_disease,-3.674487278488561e-06
434,2004,Parkinson_s_disease,-1.8040478009095234e-06
435,2005,Parkinson_s_disease,-1.5501811483207398e-07
436,2006,Parkinson_s_disease,2.2741815210122502e-07
437,2007,Parkinson_s_disease,1.88637110843439e-06
438,2008,Parkinson_s_disease,4.7266477162384005e-06
439,2009,Parkinson_s_disease,1.0024882002716221e-05
440,2010,Parkinson_s_disease,1.4531827020978312e-05
441,2011,Parkinson_s_disease,2.261006384184078e-05
442,2012,Parkinson_s_disease,3.1329008634951286e-05
443,2013,Parkinson_s_disease,4.2421966167464345e-05
444,2014,Parkinson_s_disease,5.3360653096225284e-05
445,2015,Parkinson_s_disease,6.167693495858623e-05
446,2016,Parkinson_s_disease,7.164386203680569e-05
447,2017,Parkinson_s_disease,8.17613801605909e-05
448,2018,Parkinson_s_disease,9.489363323252043e-05
449,2019,Parkinson_s_disease,0.00010648171255260575
450,1990,Acute_hepatitis,8.176094099131677e-05
451,1991,Acute_hepatitis,7.315354232864739e-05
452,1992,Acute_hepatitis,6.51411499381924e-05
453,1993,Acute_hepatitis,5.442349184307934e-05
454,1994,Acute_hepatitis,4.149860900526077e-05
455,1995,Acute_hepatitis,3.7116284748011426e-05
456,1996,Acute_hepatitis,2.9377651839434182e-05
457,1997,Acute_hepatitis,2.4970655416134722e-05
458,1998,Acute_hepatitis,1.9552237182753193e-05
459,1999,Acute_hepatitis,1.3841720060144057e-05
460,2000,Acute_hepatitis,9.366535167166596e-06
461,2001,Acute_hepatitis,5.083554594060378e-06
462,2002,Acute_hepatitis,1.3534618820434886e-06
463,2003,Acute_hepatitis,6.981497656791257e-08
464,2004,Acute_hepatitis,-3.934888485114155e-08
465,2005,Acute_hepatitis,-7.373913878918157e-08
466,2006,Acute_hepatitis,-6.181023049286615e-07
467,2007,Acute_hepatitis,-2.3867513872043015e-06
468,2008,Acute_hepatitis,-5.609576804447406e-06
469,2009,Acute_hepatitis,-9.613557159339177e-06
470,2010,Acute_hepatitis,-1.49245749951896e-05
471,2011,Acute_hepatitis,-1.9412394204533582e-05
472,2012,Acute_hepatitis,-2.3392483910748558e-05
473,2013,Acute_hepatitis,-3.626866135897781e-05
474,2014,Acute_hepatitis,-5.3295412761289744e-05
475,2015,Acute_hepatitis,-6.892491330111686e-05
476,2016,Acute_hepatitis,-8.573755404642734e-05
477,2017,Acute_hepatitis,-9.715703462527813e-05
478,2018,Acute_hepatitis,-0.00010835995361237161
479,2019,Acute_hepatitis,-0.00012093805517080067
480,1990,Maternal_disorders,7.85084150468333e-05
481,1991,Maternal_disorders,6.307308070594006e-05
482,1992,Maternal_disorders,6.002353393580012e-05
483,1993,Maternal_disorders,4.25251629152417e-05
484,1994,Maternal_disorders,3.284540028868809e-05
485,1995,Maternal_disorders,2.953967989424407e-05
486,1996,Maternal_disorders,2.505242731518022e-05
487,1997,Maternal_disorders,2.4520635551524646e-05
488,1998,Maternal_disorders,2.164974970678672e-05
489,1999,Maternal_disorders,1.7547311433040353e-05
490,2000,Maternal_disorders,1.3749758372692193e-05
491,2001,Maternal_disorders,8.745925936382606e-06
492,2002,Maternal_disorders,3.6279860878128017e-06
493,2003,Maternal_disorders,9.314908892367184e-07
494,2004,Maternal_disorders,1.2160715670239778e-07
495,2005,Maternal_disorders,6.718721312989595e-09
496,2006,Maternal_disorders,-1.7689232445498423e-07
497,2007,Maternal_disorders,-1.6006748479710959e-06
498,2008,Maternal_disorders,-4.838753769844214e-06
499,2009,Maternal_disorders,-6.362515650483675e-06
500,2010,Maternal_disorders,-1.1347786288627075e-05
501,2011,Maternal_disorders,-1.5893705033242974e-05
502,2012,Maternal_disorders,-2.5224380730732437e-05
503,2013,Maternal_disorders,-3.2181534855423456e-05
504,2014,Maternal_disorders,-4.822740822925663e-05
505,2015,Maternal_disorders,-6.527177713724864e-05
506,2016,Maternal_disorders,-7.981793012213414e-05
507,2017,Maternal_disorders,-9.506080678546862e-05
508,2018,Maternal_disorders,-0.00010535059530649381
509,2019,Maternal_disorders,-0.00011831374250726595
510,1990,Malaria,3.669021386619681e-05
511,1991,Malaria,4.3916764686306644e-05
512,1992,Malaria,3.500718548071779e-05
513,1993,Malaria,2.8736163807349972e-05
514,1994,Malaria,1.3296812542343945e-05
515,1995,Malaria,1.6993592869326527e-05
516,1996,Malaria,2.117612950356415e-05
517,1997,Malaria,3.0426912327397504e-05
518,1998,Malaria,3.1048106410806915e-05
519,1999,Malaria,1.8985155868870608e-05
520,2000,Malaria,9.681682531463467e-06
521,2001,Malaria,2.1971822342963985e-05
522,2002,Malaria,2.6204862265992814e-05
523,2003,Malaria,4.5520318538403944e-05
524,2004,Malaria,4.314239793714485e-05
525,2005,Malaria,2.503510865178697e-05
526,2006,Malaria,2.78407218353273e-05
527,2007,Malaria,2.5970057809565563e-05
