,HIV_AIDS,Diarrheal_diseases,Lower_respiratory_infections,Nutritional_deficiencies,Neonatal_disorders,Protein_energy_malnutrition,Neoplasms,Alzheimer_s_disease_and_other_dementias,Cardiovascular_diseases,Tuberculosis,Diabetes_mellitus,Chronic_kidney_disease,Drowning,Meningitis,Parkinson_s_disease,Acute_hepatitis,Maternal_disorders,Malaria,Cirrhosis_and_other_chronic_liver_diseases,Drug_use_disorders,Alcohol_use_disorders,Digestive_diseases,Conflict_and_terrorism,Fire__heat__and_hot_substances,Self_harm,Poisonings,Road_injuries_,Exposure_to_forces_of_nature,Interpersonal_violence,Environmental_heat_and_cold_exposure,Chronic_respiratory_diseases
2000,0.00038412001561047987,9.506897558300177e-05,2.242341321444035e-05,8.257308756030163e-05,5.6298923718798915e-05,8.720205404487457e-05,-0.00011726910510823519,-0.00013036167738653516,-0.00010970956730047086,9.125993783481719e-05,-4.9535647808840824e-05,-6.256930347302205e-05,2.1147967388338983e-05,1.4182863221799929e-05,-1.9795302281972534e-05,9.366535167166596e-06,1.3749758372692193e-05,9.681682531463467e-06,-6.497730592677775e-06,4.612469480000783e-07,1.6536935365053443e-06,-7.466304149660399e-06,4.299721395256351e-06,1.987705022723158e-06,1.6729982964159066e-05,4.52511146112834e-07,1.5772081009341919e-06,-0.00023034156564481263,8.747430546972697e-06,2.504857776176086e-06,7.364213344053408e-07
2001,0.0005757810404576455,4.414212574901932e-05,2.7478526075189213e-06,4.419552844550298e-05,3.275754748944854e-05,4.982734085736177e-05,-8.785773101360446e-05,-9.785342767714366e-05,-6.963503911228521e-05,5.616855792451919e-05,-3.1426760040183005e-05,-4.123415482946405e-05,1.0095261013633346e-05,8.421284377236297e-06,-1.2968495846161197e-05,5.083554594060378e-06,8.745925936382606e-06,2.1971822342963985e-05,-3.0418505344618845e-06,4.414887182171181e-09,3.278439344733735e-06,-4.641288601041663e-06,-7.620508500872384e-05,1.485187055773252e-06,6.055261936846056e-06,4.1887456340994073e-07,2.084479921649312e-06,-3.8128266694266346e-05,7.541027915028024e-06,3.171323219642512e-06,3.4528519871575617e-07
2002,0.0007327357113572734,9.283561600457774e-06,-8.684895393268604e-07,1.6877174855040164e-05,1.5778922208692587e-05,2.266696583941893e-05,-6.264476749687177e-05,-7.04480817886765e-05,-3.233669727508749e-05,2.6196101086143394e-05,-1.6029346123372238e-05,-2.4567537962688797e-05,1.9328208673454047e-06,3.074974885679797e-06,-7.48537726304795e-06,1.3534618820434886e-06,3.6279860878128017e-06,2.6204862265992814e-05,-8.788055310691219e-07,-4.301369833359709e-07,4.872470133918778e-06,-2.4853981280199594e-06,-8.184172180247497e-05,7.022041394592576e-07,1.5353864512748891e-06,3.3980920666107814e-07,2.0768355217852747e-06,-0.00023327135106364447,1.0993897136009085e-05,5.558432753074996e-06,3.727621636515565e-08
2003,0.0008714754181114222,-3.154394604848882e-08,-8.621816557362522e-06,-2.510425978001382e-05,7.665339286166886e-06,-2.0403707197909284e-05,-3.2079759773460254e-05,-4.3666449615948895e-05,-1.1849108365414272e-05,8.948480184323778e-06,-6.0797576124106125e-06,-1.1650919463401235e-05,-5.076230508438011e-08,1.6155723918200759e-06,-3.674487278488561e-06,6.981497656791257e-08,9.314908892367184e-07,4.5520318538403944e-05,4.435916804238898e-09,-1.5920442857822838e-06,6.780483920069719e-06,-5.78870012151074e-07,-6.490560757049064e-05,5.964729284747689e-07,1.4645916155911097e-06,4.130519472992836e-07,3.0013066159107285e-06,-1.8776618960695968e-05,2.9590702344374302e-06,7.510390741227014e-06,-8.318016997920213e-08
2004,0.0009436095835455224,-1.3476613901858715e-05,-2.6728432485489863e-05,-5.454910047574446e-05,2.2071587996499173e-06,-4.513864927618269e-05,-1.4275951102820207e-05,-2.2942816914737433e-05,-1.48933885123991e-05,7.86705199841592e-09,-2.703652272858587e-06,-5.488463878264955e-06,-1.7894826739246929e-06,2.9886635817513756e-07,-1.8040478009095234e-06,-3.934888485114155e-08,1.2160715670239778e-07,4.314239793714485e-05,3.3671269461487666e-07,-2.0174268333972447e-06,7.426466117210848e-06,-3.062043924140657e-07,-6.799438981213422e-05,1.0656267616292985e-07,1.6889367284795209e-06,5.341687658287506e-07,4.028388584885619e-06,0.001000832877999033,1.0407297509673808e-06,2.4685910611720765e-06,-2.875671114060214e-06
2005,0.0008883310504816024,-3.3752731252891096e-05,-4.0992596823824414e-05,-8.566848969038547e-05,-2.2145965556076227e-09,-7.277610953964632e-05,-1.926796893512246e-06,-7.901215450137919e-06,-1.4017133829953045e-06,-2.4753727804946435e-06,-5.189461230803944e-10,-3.1750248328838056e-07,-4.486623164224647e-06,3.5539431808622875e-08,-1.5501811483207398e-07,-7.373913878918157e-08,6.718721312989595e-09,2.503510865178697e-05,2.8263055947344573e-06,-7.306084809234655e-07,7.6246470324737355e-06,2.763538773625486e-07,-0.00011895455599356266,9.13878075697347e-08,2.147133401717927e-06,5.70736145185211e-07,4.938771053811415e-06,7.626267272395224e-05,1.3026100003074839e-07,3.150956187384915e-06,-3.1047281467564618e-06
2006,0.0007399274815046565,-3.846594175366193e-05,-5.255178105632559e-05,-0.00011119879724763864,-9.420400972220977e-07,-9.723100430429827e-05,4.6614427241421113e-07,-1.2617288498621915e-07,-2.061821818526838e-07,-8.673620017643621e-06,1.8687230993683632e-06,1.4105667439972744e-06,-1.1269613315873379e-05,6.709037620063626e-10,2.2741815210122502e-07,-6.181023049286615e-07,-1.7689232445498423e-07,2.78407218353273e-05,5.051531920268035e-06,-4.985586353095276e-07,5.21935830702403e-06,1.4426339432891029e-06,-5.4358159916347265e-05,-1.5883345685958798e-08,7.237139655924573e-07,1.4120131705975736e-07,5.561610868369299e-06,-0.0001004891143400544,-8.656459730250972e-08,9.020224544176579e-07,-3.827271914098418e-06
2007,0.0005091426171806948,-5.934116098980707e-05,-7.152957081054973e-05,-0.00014688114362540743,-6.431737277545757e-06,-0.00013082388155435042,1.0311406041042847e-05,3.826115183558777e-06,1.3626049314711041e-06,-2.0247765164859463e-05,6.4420204047418105e-06,8.008818120744702e-06,-1.8174821897588486e-05,-4.300708653127305e-07,1.88637110843439e-06,-2.3867513872043015e-06,-1.6006748479710959e-06,2.5970057809565563e-05,7.654656263012091e-06,-3.8410322758002636e-07,2.923631174324095e-06,2.956484293406569e-06,-6.597606670711372e-05,-1.9863691181327175e-07,-5.04551151539835e-11,4.918110524165157e-09,6.621017286401697e-06,-0.00013564061086972283,-1.0616744850884633e-06,-5.926746843308514e-08,-3.6997503360829457e-06
2008,0.0002697585375321136,-0.00010206845399530345,-0.00010390381251159818,-0.0001894692494041933,-2.492445407029759e-05,-0.0001715931802836882,2.3692775493161728e-05,1.3965851416918148e-05,6.887386505683053e-06,-4.2652727833662816e-05,1.1809150602697896e-05,1.7410825831422816e-05,-2.95866686574725e-05,-4.186406549511494e-06,4.7266477162384005e-06,-5.609576804447406e-06,-4.838753769844214e-06,1.5350098308535053e-05,8.284782951317336e-06,-3.747638709534802e-07,1.1064429000086934e-06,3.0188643876346882e-06,-9.652683129023472e-05,-8.769589492077368e-07,-1.021637041855481e-06,-1.2131365308854065e-08,5.3428260368941906e-06,0.0009249356796074295,-1.5871634937135866e-06,-8.621832682652076e-07,-3.7844818817357436e-06
2009,0.0001333614239436003,-0.00015862626678448451,-0.00012016148174947942,-0.00022334585464534886,-3.759868084357901e-05,-0.00020261526987610883,7.338651883754274e-05,4.285039366095744e-05,3.525141333920578e-05,-6.947038340068389e-05,2.3480033050732384e-05,3.707770309038891e-05,-3.810313839574999e-05,-6.621811761562107e-06,1.0024882002716221e-05,-9.613557159339177e-06,-6.362515650483675e-06,1.0387230840202145e-05,1.0035499563255598e-05,-2.9873357464131514e-07,1.9896526300793163e-07,4.481490149897368e-06,-6.702306679600046e-05,-1.4760839781160573e-06,-2.463960502653589e-06,-3.688123203096511e-08,6.065150903529558e-06,-0.00020291763919913212,-1.2023578220132233e-06,-2.5863091572704206e-06,-3.419113580972917e-06
